CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
210047217,WEAPON LAW VIOLATIONS,5202,CCW-CONCEALED WEAPONS - CARRYING CONCEALED,A,2800 BLOCK CASCADE DR,ANN ARBOR,2021-12-19 17:15:00,WEAPONS OFFENSE,-83.70283459999996,42.246071200000074
210047286,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3100 BLOCK LA SALLE DR,ANN ARBOR,2021-12-20 07:31:00,ASSAULT - SIMPLE,-83.69614449999995,42.24356760000006
210046427,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,300 BLOCK W HURON ST,ANN ARBOR,2021-12-14 06:25:00,ASSAULT - SIMPLE,-83.75166069999995,42.28180800000007
210047147,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1000 BLOCK ARBORDALE ST,ANN ARBOR,2021-12-18 23:50:30,ASSAULT - SIMPLE,-83.76734149999999,42.26869870000007
210047345,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,300 BLOCK BRIARWOOD CIR,ANN ARBOR,2021-12-20 15:54:00,LARCENY - RETAIL FRAUD,-83.74734699999999,42.23883999900005
210046970,DISORDERLY CONDUCT,5311,DISORDERLY CONDUCT,B,300 BLOCK DETROIT ST,ANN ARBOR,2021-12-17 19:56:00,PUBLIC PEACE,-83.74626689999997,42.28335490000006
210047132,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1200 BLOCK S UNIVERSITY AVE,ANN ARBOR,2021-12-18 23:27:30,ASSAULT - SIMPLE,-83.73340289899994,42.27475120100007
210047405,COUNTERFEITING/FORGERY,2505,PASS COUNTERFEITED -ANY OBJECT,A,1100 BLOCK S MAPLE RD,ANN ARBOR,2021-12-21 01:05:00,FORGERY / COUNTERFEITING,-83.78032159999998,42.26842820000007
210047405,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2677,"DEFRAUDING HOTELS, RESTAURANTS, INNKEEPER, ETC",A,1100 BLOCK S MAPLE RD,ANN ARBOR,2021-12-21 01:05:00,FRAUD,-83.78032159999998,42.26842820000007
210047426,INTIMIDATION,1316,INTIMIDATION (ALSO INCLUDES INTERFERING WITH 911 CALL),A,2100 BLOCK PAULINE BLVD,ANN ARBOR,2021-12-21 08:43:00,INTIMIDATION / STALKING,-83.77859269899994,42.26567490000008
210047509,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,1100 BLOCK S MAPLE RD,ANN ARBOR,2021-12-21 10:39:30,BURGLARY - RESIDENTIAL,-83.78032159999998,42.26842820000007
211000846,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1200 BLOCK TRAVER RD,ANN ARBOR,2021-12-19 16:07:30,LARCENY - ALL OTHER,-83.73798860099998,42.29216440000005
210047529,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,1300 BLOCK BROOKFIELD DR,ANN ARBOR,2021-12-22 01:02:00,ASSAULT - SIMPLE,-83.76188679899997,42.24877500000008
210047439,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,700 BLOCK BRIARWOOD CIR,ANN ARBOR,2021-12-21 10:43:00,ASSAULT - SIMPLE,-83.74644320099998,42.240228701000035
210047570,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,700 BLOCK BRIARWOOD CIR,ANN ARBOR,2021-12-22 11:25:00,ASSAULT - SIMPLE,-83.74149819999997,42.24059280000006
